,AtBat,Inning,Batter,Pitcher,Outs,Bases,Score,Play,PitchSeq,lastEvent,LI,RE,WE,WPA,RE24,Year,Game,InningNum
0,1,▲ 1,K Lofton,K Appier,0,___,0-0,Kenny Lofton struck out looking.,"Called Strike, Ball, Ball, Foul Ball, Ball, Strikeout Looking",Strikeout,0.87,0.53,52.3%,-0.023,-0.25,2002,2, 1
1,2,▲ 1,R Aurilia,K Appier,1,___,0-0,Rich Aurilia grounded out to shortstop.,Ground Out,Ground Out,0.63,0.28,53.8%,-0.016,-0.17,2002,2, 1
2,3,▲ 1,J Kent,K Appier,2,___,0-0,Jeff Kent grounded out to pitcher.,"Called Strike, Ball, Ground Out",Ground Out,0.41,0.11,54.9%,-0.011,-0.11,2002,2, 1
3,4,▼ 1,D Eckstein,R Ortiz,0,___,0-0,David Eckstein singled to right (Liner).,"Ball, Called Strike, Single",Single,0.87,0.53,58.4%,0.035,0.4,2002,2, 1
4,5,▼ 1,D Erstad,R Ortiz,0,1__,0-0,Darin Erstad doubled to center (Liner). David Eckstein scored.,"Ball, Ball, Double",Double,1.39,0.93,69.6%,0.112,1.24,2002,2, 1
5,6,▼ 1,T Salmon,R Ortiz,0,_2_,1-0,Tim Salmon singled to right (Liner). Darin Erstad advanced to 3B.,"Ball, Single",Single,1.0,1.16,74.8%,0.053,0.72,2002,2, 1
6,7,▼ 1,G Anderson,R Ortiz,0,1_3,1-0,Garret Anderson singled to right (Grounder). Darin Erstad scored. Tim Salmon advanced to 2B.,"Ball, Called Strike, Foul Ball, Single",Single,1.23,1.88,79.1%,0.043,0.66,2002,2, 1
7,8,▼ 1,T Glaus,R Ortiz,0,12_,2-0,Troy Glaus flied out to center. Tim Salmon advanced to 3B.,"Ball, Fly Out",Fly Out,1.22,1.54,77.6%,-0.015,-0.32,2002,2, 1
8,9,▼ 1,B Fullmer,R Ortiz,1,1_3,2-0,Brad Fullmer singled to center (Liner). Tim Salmon scored. Garret Anderson advanced to 3B.,"Pickoff Throw (First Base), Ball, Foul Ball, Foul Ball, Single",Single,1.27,1.22,83.8%,0.062,1.0,2002,2, 1
9,10,▼ 1,S Spiezio,R Ortiz,1,1_3,3-0,Scott Spiezio singled to right (Liner). Garret Anderson scored. Brad Fullmer advanced to 3B.,Single,Single,0.99,1.22,88.7%,0.048,1.0,2002,2, 1
10,11,▼ 1,B Fullmer,R Ortiz,1,1_3,4-0,Scott Spiezio advanced on double steal to 2B. Brad Fullmer scored.,,Stolen Base,0.74,1.22,90.9%,0.022,0.49,2002,2, 1
11,12,▼ 1,B Molina,R Ortiz,1,_2_,5-0,Bengie Molina flied out to right. Scott Spiezio advanced to 3B.,"Ball, Foul Ball, Foul Ball, Foul Ball, Pickoff Throw (First Base), Ball, (Double Steal), (Double Steal), Fly Out",Fly Out,0.37,0.71,90.0%,-0.009,-0.33,2002,2, 1
12,13,▼ 1,A Kennedy,R Ortiz,2,__3,5-0,Adam Kennedy grounded out to pitcher.,"Ball, Ball, Foul Ball, Swinging Strike, Ground Out",Ground Out,0.43,0.38,88.8%,-0.012,-0.38,2002,2, 1
13,14,▲ 2,B Bonds,K Appier,0,___,5-0,Barry Bonds walked.,"Called Strike, Ball, Foul Ball, Ball, Ball, Walked",Walk,0.54,0.53,86.4%,0.023,0.4,2002,2, 2
14,15,▲ 2,B Santiago,K Appier,0,1__,5-0,Benito Santiago flied out to center.,"Foul Ball, Ball, Foul Ball, Fly Out",Fly Out,0.94,0.93,88.6%,-0.022,-0.37,2002,2, 2
15,16,▲ 2,J Snow,K Appier,1,1__,5-0,J.T. Snow singled to right (Liner). Barry Bonds advanced to 3B.,"Ball, Single",Single,0.7,0.55,85.0%,0.036,0.67,2002,2, 2
16,17,▲ 2,R Sanders,K Appier,1,1_3,5-0,Reggie Sanders homered (Fly). Barry Bonds scored. J.T. Snow scored.,"Swinging Strike, Called Strike, Home Run",Home Run,1.15,1.22,71.8%,0.132,2.06,2002,2, 2
17,18,▲ 2,D Bell,K Appier,1,___,5-3,David Bell homered (Fly).,"Called Strike, Ball, Called Strike, Ball, Ball, Home Run",Home Run,0.65,0.28,62.6%,0.092,1.0,2002,2, 2
18,19,▲ 2,S Dunston,K Appier,1,___,5-4,Shawon Dunston grounded out to second.,"Called Strike, Called Strike, Foul Ball, Ball, Ground Out",Ground Out,0.69,0.28,64.3%,-0.017,-0.17,2002,2, 2
19,20,▲ 2,K Lofton,K Appier,2,___,5-4,Kenny Lofton singled to center (Liner).,Single,Single,0.43,0.11,63.0%,0.013,0.13,2002,2, 2
20,21,▲ 2,R Aurilia,K Appier,2,1__,5-4,Rich Aurilia struck out looking.,"Called Strike, Called Strike, Ball, Pickoff Throw (First Base), Foul Ball, Strikeout Looking",Strikeout,0.85,0.24,65.5%,-0.025,-0.24,2002,2, 2
21,22,▼ 2,D Eckstein,R Ortiz,0,___,5-4,David Eckstein bunted to pitcher (Bunt Grounder).,"Called Strike, Bunt",Bunt,0.78,0.53,68.6%,0.031,0.4,2002,2, 2
22,23,▼ 2,D Erstad,R Ortiz,0,1__,5-4,Darin Erstad flied out to center.,"Pitch Out, Pickoff Throw (First Base), Ball, Fly Out",Fly Out,1.25,0.93,65.6%,-0.029,-0.37,2002,2, 2
23,24,▼ 2,T Salmon,R Ortiz,1,1__,5-4,Tim Salmon homered (Fly). David Eckstein scored.,"Pickoff Throw (First Base), Ball, Ball, Foul Ball, Foul Ball, Home Run",Home Run,1.05,0.55,80.6%,0.149,1.73,2002,2, 2
24,25,▼ 2,G Anderson,R Ortiz,1,___,7-4,Garret Anderson flied out to first.,"Ball, Foul Ball, Fly Out",Fly Out,0.36,0.28,79.7%,-0.009,-0.17,2002,2, 2
25,26,▼ 2,T Glaus,R Ortiz,2,___,7-4,Troy Glaus doubled to center (Fly).,"Ball, Ball, Swinging Strike, Double",Double,0.24,0.11,80.9%,0.013,0.23,2002,2, 2
26,27,▼ 2,T Glaus,C Zerbe,2,_2_,7-4,Troy Glaus advanced on a passed ball to 3B. Passed ball by Benito Santiago.,,Stolen Base,0.66,0.34,81.2%,0.003,0.04,2002,2, 2
27,28,▼ 2,B Fullmer,C Zerbe,2,__3,7-4,Brad Fullmer grounded out to first.,"Ball, (Passed Ball), Foul Ball, Ball, Ground Out",Ground Out,0.77,0.38,79.0%,-0.021,-0.38,2002,2, 2
28,29,▲ 3,J Kent,K Appier,0,___,7-4,Jeff Kent homered (Fly).,"Ball, Home Run",Home Run,0.85,0.53,70.8%,0.082,1.0,2002,2, 3
29,30,▲ 3,B Bonds,K Appier,0,___,7-5,Barry Bonds walked.,"Ball, Ball, Ball, Walked",Walk,0.98,0.53,66.8%,0.04,0.39,2002,2, 3
30,31,▲ 3,B Santiago,J Lackey,0,1__,7-5,Benito Santiago hit into a double play to shortstop (Liner). Barry Bonds out at second.,"Pickoff Throw (First Base), Foul Ball, Double Play",Double Play,1.63,0.93,75.1%,-0.083,-0.81,2002,2, 3
31,32,▲ 3,J Snow,J Lackey,2,___,7-5,J.T. Snow flied out to center.,"Ball, Called Strike, Fly Out",Fly Out,0.43,0.11,76.2%,-0.011,-0.11,2002,2, 3
32,33,▼ 3,S Spiezio,C Zerbe,0,___,7-5,Scott Spiezio grounded out to second.,"Ball, Ball, Ground Out",Ground Out,0.63,0.53,74.6%,-0.016,-0.25,2002,2, 3
33,34,▼ 3,B Molina,C Zerbe,1,___,7-5,Bengie Molina grounded out to shortstop.,"Ball, Called Strike, Ground Out",Ground Out,0.47,0.28,73.4%,-0.012,-0.17,2002,2, 3
34,35,▼ 3,A Kennedy,C Zerbe,2,___,7-5,Adam Kennedy grounded out to pitcher.,"Foul Ball, Called Strike, Foul Ball, Ball, Ball, Ground Out",Ground Out,0.32,0.11,72.5%,-0.008,-0.11,2002,2, 3
35,36,▲ 4,R Sanders,J Lackey,0,___,7-5,Reggie Sanders singled to left (Liner).,"Called Strike, Single",Single,1.05,0.53,68.2%,0.044,0.4,2002,2, 4
36,37,▲ 4,R Sanders,J Lackey,0,1__,7-5,Reggie Sanders advanced on a stolen base to 2B.,,Stolen Base,1.76,0.93,65.7%,0.024,0.24,2002,2, 4
37,38,▲ 4,D Bell,J Lackey,0,_2_,7-5,David Bell grounded out to pitcher.,"Called Strike, Ball, Foul Ball, Ball, Pickoff Throw (First Base), Ball, (Stolen Base), Foul Ball, Foul Ball, Ground Out",Ground Out,1.51,1.16,70.7%,-0.049,-0.46,2002,2, 4
38,39,▲ 4,S Dunston,J Lackey,1,_2_,7-5,Shawon Dunston reached on fielder's choice to shortstop. Reggie Sanders out at third.,"Called Strike, Fielder's Choice",Fielders Choice,1.43,0.71,75.7%,-0.05,-0.46,2002,2, 4
39,40,▲ 4,K Lofton,J Lackey,2,1__,7-5,Kenny Lofton flied out to center.,"Foul Ball, Ball, Fly Out",Fly Out,0.91,0.24,78.3%,-0.026,-0.24,2002,2, 4
40,41,▼ 4,D Eckstein,C Zerbe,0,___,7-5,David Eckstein grounded out to third.,"Ball, Called Strike, Ground Out",Ground Out,0.62,0.53,76.7%,-0.016,-0.25,2002,2, 4
41,42,▼ 4,D Erstad,C Zerbe,1,___,7-5,Darin Erstad grounded out to third.,"Called Strike, Ball, Ball, Ball, Ground Out",Ground Out,0.46,0.28,75.5%,-0.012,-0.17,2002,2, 4
42,43,▼ 4,T Salmon,C Zerbe,2,___,7-5,Tim Salmon singled to left (Liner).,"Ball, Called Strike, Ball, Single",Single,0.32,0.11,76.4%,0.009,0.13,2002,2, 4
43,44,▼ 4,G Anderson,C Zerbe,2,1__,7-5,Garret Anderson grounded out to second.,"Called Strike, Swinging Strike, Pickoff Throw (First Base), Pickoff Throw (First Base), Ball, Ground Out",Ground Out,0.6,0.24,74.7%,-0.017,-0.24,2002,2, 4
44,45,▲ 5,R Aurilia,J Lackey,0,___,7-5,Rich Aurilia doubled to center (Fly).,"Ball, Double",Double,1.14,0.53,67.4%,0.073,0.63,2002,2, 5
45,46,▲ 5,J Kent,J Lackey,0,_2_,7-5,Jeff Kent struck out looking.,"Ball, Ball, Foul Ball, Foul Ball, Foul Ball, Strikeout Looking",Strikeout,1.65,1.16,72.7%,-0.053,-0.46,2002,2, 5
46,47,▲ 5,B Bonds,J Lackey,1,_2_,7-5,Barry Bonds was intentionally walked.,"Intentional Ball, Intentional Ball, Intentional Ball, Intentionally Walked",Walk,1.54,0.71,69.6%,0.031,0.24,2002,2, 5
47,48,▲ 5,B Santiago,B Weber,1,12_,7-5,Benito Santiago singled to left (Grounder). Rich Aurilia advanced to 3B. Barry Bonds advanced to 2B.,"Swinging Strike, Single",Single,2.57,0.95,61.6%,0.08,0.67,2002,2, 5
48,49,▲ 5,J Snow,B Weber,1,123,7-5,"J.T. Snow singled to right (Grounder). Rich Aurilia scored.
Barry Bonds scored. Benito Santiago advanced to 3B.","Ball, Ball, Ball, Called Strike, Single",Single,3.56,1.61,41.3%,0.202,1.61,2002,2, 5
49,50,▲ 5,R Sanders,B Weber,1,1_3,7-7,Reggie Sanders struck out swinging.,"Ball, Called Strike, Foul Ball, Foul Ball, Strikeout Swinging",Strikeout,2.39,1.22,50.1%,-0.087,-0.7,2002,2, 5
50,51,▲ 5,D Bell,B Weber,2,1_3,7-7,David Bell singled to center (Grounder). Benito Santiago scored. J.T. Snow advanced to 2B.,"Swinging Strike, Ball, Foul Ball, Foul Ball, Foul Ball, Single",Single,2.39,0.52,37.3%,0.128,0.93,2002,2, 5
51,52,▲ 5,S Dunston,B Weber,2,12_,7-8,"Shawon Dunston singled to left (Grounder). J.T. Snow scored.
David Bell advanced to 3B on error. Shawon Dunston advanced to 2B. Error by Garret Anderson.","Ball, Single",Single,1.8,0.46,24.7%,0.126,1.17,2002,2, 5
52,53,▲ 5,K Lofton,B Weber,2,_23,7-9,Kenny Lofton grounded out to second.,"Ball, Ball, Foul Ball, Foul Ball, Ground Out",Ground Out,1.58,0.63,29.4%,-0.048,-0.62,2002,2, 5
53,54,▼ 5,T Glaus,C Zerbe,0,___,7-9,Troy Glaus singled to center (Grounder).,"Called Strike, Ball, Single",Single,1.26,0.53,34.7%,0.052,0.4,2002,2, 5
54,55,▼ 5,B Fullmer,C Zerbe,0,1__,7-9,Brad Fullmer singled to center (Fly). Troy Glaus advanced to 3B on error. Error by Kenny Lofton.,"Ball, Called Strike, Foul Ball, Pickoff Throw (First Base), Foul Ball, Single",Single,2.09,0.93,47.0%,0.123,0.96,2002,2, 5
55,56,▼ 5,S Spiezio,C Zerbe,0,1_3,7-9,Scott Spiezio hit a sacrifice fly to center (Fly). Troy Glaus scored.,"Foul Ball, Sacrifice Fly",Sacrifice Fly,2.48,1.88,42.3%,-0.047,-0.33,2002,2, 5
56,57,▼ 5,B Molina,C Zerbe,1,1__,8-9,Bengie Molina grounded into a double play to third (Grounder). Brad Fullmer out at second.,"Called Strike, Pitch Out, Pickoff Throw (First Base), Foul Ball, Ball, Ball, Grounded Into Double Play",Grounded Into Double Play,1.79,0.55,34.4%,-0.079,-0.55,2002,2, 5
57,58,▲ 6,R Aurilia,F Rodriguez,0,___,8-9,Rich Aurilia struck out looking.,"Called Strike, Foul Ball, Strikeout Looking",Strikeout,0.99,0.53,36.9%,-0.026,-0.25,2002,2, 6
58,59,▲ 6,J Kent,F Rodriguez,1,___,8-9,Jeff Kent struck out swinging.,"Foul Ball, Swinging Strike, Strikeout Swinging",Strikeout,0.74,0.28,38.8%,-0.019,-0.17,2002,2, 6
59,60,▲ 6,B Bonds,F Rodriguez,2,___,8-9,Barry Bonds grounded out to first.,Ground Out,Ground Out,0.5,0.11,40.1%,-0.013,-0.11,2002,2, 6
60,61,▼ 6,A Kennedy,C Zerbe,0,___,8-9,Adam Kennedy grounded out to first.,Ground Out,Ground Out,1.56,0.53,36.1%,-0.041,-0.25,2002,2, 6
61,62,▼ 6,D Eckstein,C Zerbe,1,___,8-9,David Eckstein grounded out to shortstop.,"Called Strike, Ball, Foul Ball, Ball, Foul Ball, Ground Out",Ground Out,1.16,0.28,33.2%,-0.029,-0.17,2002,2, 6
62,63,▼ 6,D Erstad,C Zerbe,2,___,8-9,Darin Erstad doubled to right (Grounder).,Double,Double,0.76,0.11,37.1%,0.04,0.23,2002,2, 6
63,64,▼ 6,T Salmon,J Witasick,2,_2_,8-9,Tim Salmon walked.,"Ball, Ball, Called Strike, Swinging Strike, Ball, Walked",Walk,2.07,0.34,38.8%,0.017,0.12,2002,2, 6
64,65,▼ 6,G Anderson,A Fultz,2,12_,8-9,Garret Anderson singled to right (Liner). Darin Erstad scored. Tim Salmon out at third.,"Ball, Foul Ball, Single",Single,2.93,0.46,50.0%,0.112,0.55,2002,2, 6
65,66,▲ 7,B Santiago,F Rodriguez,0,___,9-9,Benito Santiago struck out swinging.,"Called Strike, Foul Ball, Strikeout Swinging",Strikeout,1.55,0.53,54.0%,-0.04,-0.25,2002,2, 7
66,67,▲ 7,J Snow,F Rodriguez,1,___,9-9,J.T. Snow grounded out to first.,"Called Strike, Swinging Strike, Ball, Ball, Ball, Ground Out",Ground Out,1.16,0.28,56.9%,-0.029,-0.17,2002,2, 7
